name,rating,price,purhase_price,projected_lifespan_in_years,projected_costs_to_operate,projected_profits,projefted_net_profits
ASOS,5,$0.00 ,"$25,000 ",11,"$132,000.00 ","$660,000.00 ","$503,000.00 "
Bible,4.7,$0.00 ,"$25,000 ",10.5,"$126,000.00 ","$630,000.00 ","$479,000.00 "
Cytus,5,$0.00 ,"$25,000 ",11,"$132,000.00 ","$660,000.00 ","$503,000.00 "
"Egg, Inc.",5,$0.00 ,"$25,000 ",11,"$132,000.00 ","$660,000.00 ","$503,000.00 "
Fernanfloo,4.8,$0.00 ,"$25,000 ",10.5,"$126,000.00 ","$630,000.00 ","$479,000.00 "
Geometry Dash Lite,5,$0.00 ,"$25,000 ",11,"$132,000.00 ","$660,000.00 ","$503,000.00 "
Shadow Fight 2,4.6,$0.00 ,"$25,000 ",10,"$120,000.00 ","$600,000.00 ","$455,000.00 "
Solitaire,4.7,$0.00 ,"$25,000 ",10.5,"$126,000.00 ","$630,000.00 ","$479,000.00 "
The Guardian,5,$0.00 ,"$25,000 ",11,"$132,000.00 ","$660,000.00 ","$503,000.00 "
Toy Blast,4.7,$0.00 ,"$25,000 ",10.5,"$126,000.00 ","$630,000.00 ","$479,000.00 "
